id,first_name,last_name,is_married,email,nationality,birth_date
0,Tim,Robbins,0,ZZJTJj@gmail.com,American,09/12/1985
1,Morgan,Freeman,1,eIlicrufbD@gmail.com,Canadian,05/13/1996
2,Bob,Gunton,0,KXrQcLziQp@gmail.com,American,12/23/2008
3,Marlon,Brando,0,GAkeqwdJA@gmail.com,American,10/22/2006
4,Al,Pacino,0,JLydNSq@gmail.com,American,04/22/2008
5,James,Caan,0,aDQRAWVk@gmail.com,American,02/13/1981
6,Al,Pacino,1,zHKkT@gmail.com,American,07/09/1997
7,Robert,,1,fsaDg@gmail.com,American,01/29/1970
8,Robert,Duvall,0,eLOmcup@gmail.com,American,05/16/2006
9,Christian,Bale,0,YtmguZ@gmail.com,American,07/29/1989
10,Heath,Ledger,0,VoKGEeiP@gmail.com,American,06/21/1978
11,Aaron,Eckhart,1,nIJFQyz@gmail.com,Canadian,10/29/1985
12,Henry,Fonda,0,FtwVZ@gmail.com,Canadian,08/18/1971
13,Lee,,1,PzasnVJo@gmail.com,American,11/14/2000
14,Martin,Balsam,0,ecmFUrRPdG@gmail.com,Canadian,06/05/1983
15,Liam,Neeson,0,OSnEol@gmail.com,American,04/30/1986
16,Ralph,Fiennes,0,hoAWGxrKkE@gmail.com,Canadian,04/09/2001
17,Ben,Kingsley,0,KUZBbAgzg@gmail.com,American,04/07/1986
18,Elijah,Wood,1,jARarS@gmail.com,American,01/23/2005
19,Viggo,Mortensen,1,qkzXH@gmail.com,Canadian,04/27/2008
20,Ian,McKellen,0,rIhGxQR@gmail.com,Canadian,05/09/1991
21,John,Travolta,1,vFejQV@gmail.com,Canadian,11/11/1984
22,Uma,Thurman,0,UXwGmPJK@gmail.com,Canadian,12/10/1977
23,Samuel,,1,UTqIAlniyi@gmail.com,Canadian,04/12/1983
24,Clint,Eastwood,0,UmVhiNK@gmail.com,Canadian,05/23/2002
25,Eli,Wallach,1,YdtbfQb@gmail.com,Canadian,01/19/1991
26,Lee,,0,TFllNBc@gmail.com,Canadian,04/24/2007
27,Brad,Pitt,1,AqOCK@gmail.com,Canadian,01/07/2005
28,Edward,Norton,1,eMieQq@gmail.com,Canadian,08/09/1995
29,Meat,Loaf,0,qnDIPJL@gmail.com,Canadian,12/15/1995
30,Elijah,Wood,0,UYNGHuBvmP@gmail.com,American,11/04/1998
31,Ian,McKellen,1,kZVOwh@gmail.com,Canadian,07/28/1991
32,Orlando,Bloom,0,XErKFNTy@gmail.com,American,03/29/2002
33,Tom,Hanks,1,ZpzGv@gmail.com,Canadian,03/20/1986
34,Robin,Wright,0,rmFGFRl@gmail.com,American,06/06/2000
35,Gary,Sinise,1,jnTkjg@gmail.com,Canadian,02/28/1980
36,Mark,Hamill,1,NjPBkd@gmail.com,Canadian,07/22/1974
37,Harrison,Ford,1,afTDyOPFm@gmail.com,American,07/14/1995
38,Carrie,Fisher,1,rMVstZ@gmail.com,American,03/01/2001
39,Leonardo,DiCaprio,0,IZwkdS@gmail.com,Canadian,12/22/1975
